Site,Category,Google hits,FB likes,Twitter,Total,political alignment,scale
The Last Great Stand,conspiracy,237000000,119303,72600,237191903,Unknow,40
The Constitution,clickbait,182000000,948593,2193,182950786,right,40
The European Union Times,conspiracy,129000000,348,988,129001336,Unknow,40
USA Supreme,na,86500000,42633,0,86542633,right,40
TakePart,clickbait,80000000,681116,96500,80777616,left,40
DailyOccupation,na,74000000,0,0,74000000,none,40
The American Conservative,clickbait,69900000,52069,21200,69973269,right,40
The Root,clickbait,66700000,889604,288000,67877604,left,40
Online Conservative Press,conspiracy,48800000,162617,0,48962617,Unknow,40
Hot Air,clickbait,45100000,828052,13100,45941152,right,40
Fox News,clickbait,19400000,13999658,11900000,45299658,right,40
The New Civil Rights Movement,clickbait,31000000,369974,7135,31377109,left,40
Big Government News,clickbait,28900000,0,0,28900000,right,40
Knox Report,clickbait,26800000,7879,0,26807879,right,40
Move On,clickbait,25100000,1013838,191155,26304993,left,40
Anti-War,conspiracy,26100000,64690,33000,26197690,left,40
American Lookout,clickbait,21500000,0,1409,21501409,right,40
Red Pepper,clickbait,21100000,12909,0,21112909,left,40
Power Line,clickbait,20400000,9863,6890,20416753,right,40
Townhall,clickbait,18600000,1274178,91200,19965378,right,40
The Progressive,clickbait,19100000,38410,29400,19167810,left,40
The Onion ,satire,3300000,6134195,9210000,18644195,centrist,40
Proud Democrat,clickbait,17800000,545470,0,18345470,left,40
Tribune UK,clickbait,16300000,1985,4757,16306742,left,40
The Rebel,clickbait,16100000,56902,44200,16201102,right,40
The Boston Tribune,clickbait,16000000,0,204,16000204,right,40
Breitbart,clickbait,9880000,2855869,502000,13237869,right,40
David Wolfe,junk science,4110000,8548023,88000,12746023,Unknow,40
Ring of Fire,clickbait,12000000,200356,27400,12227756,left,40
Newsmax,clickbait,10700000,1158815,64100,11922915,right,40
Democracy Now,clickbait,9810000,1082983,522000,11414983,left,40
In These Times,clickbait,11300000,75831,20700,11396531,left,40
Abcnews.com.co,fake news,11100000,0,0,11100000,right,40
Inquisitr,na,7520000,3006077,54400,10580477,centrist/left,40
Young Turks,clickbait,8530000,1334954,257000,10121954,left,40
American News,conspiracy,4530000,5483682,0,10013682,right,40
NowThis News,clickbait,411000,8540725,451000,9402725,left,40
Uproxx,clickbait,7080000,1782595,74700,8937295,left,40
The Mind Unleashed,conspiracy,977000,7843017,13000,8833017,Unknow,40
Opposing Views,clickbait,4200000,3765123,38500,8003623,left,40
National Rifle Association (NRA),clickbait,2170000,5087364,413000,7670364,right,40
CollectiveEvolution,conspiracy,2550000,4855177,61600,7466777,Unknow,40
Daily Caller,clickbait,3210000,3769844,239000,7218844,right,40
Black Lives Matter,clickbait,6750000,237535,192000,7179535,left,40
Occupy Democrats,clickbait,1960000,4650122,18800,6628922,left,40
Western Journalism,clickbait,1950000,4493372,30700,6474072,right,40
Mercola,junk science,4500000,1482835,248000,6230835,Unknow,40
Twitchy,clickbait,4560000,1277992,215000,6052992,right,40
Global Research,conspiracy,5690000,241233,21900,5953133,Unknow,40